Rank	Title	CNNaffinity	CNNgradient	CNNscore	minimizedAffinity	minimizedRMSD	molecular_weight
1		9.33729	0.00677745	0.971729	-2.74087	1.26607	506.408
2		9.11572	0.0102799	0.962923	-3.93444	1.14858	506.408
3		8.25017	0.0269354	0.930901	-4.91861	0.12332	593.468
4		7.84183	0.0274328	0.929919	-7.71995	0.2751	414.312
5		7.80098	0.384594	0.771682	-4.34712	0.85814	545.876
6		7.759	0.0802255	0.896076	-7.67988	0.09914	437.266
7		7.50799	0.0198357	0.938184	-4.2767	1.00256	593.468
8		7.48029	0.0304925	0.928064	-5.79757	0.29777	522.433
9		7.41215	0.0258455	0.940611	-5.54742	0.11905	604.458
10		7.40409	0.0453732	0.9125	-6.26579	0.1984	522.433
