Rank	Title	CNNaffinity	CNNgradient	minimizedAffinity	minimizedRMSD	molecular_weight
1		        -1	        21.3572	    -7.8898	          0.73636	       414.312
2		        -1	        17.6092	    -7.79653	        0.87393	       437.266
3		        -1	        12.6767	    -7.7015	          3.86342	       471.365
4		        -1	        15.1381	    -7.65504	        0.48474	       424.736
5		        -1	        10.7789	    -7.53332	        1.16789	       353.251
6		        -1	        10.625	    -7.50755	        1.25877	       388.323
7		        -1	        24.9698	    -7.47895	        1.74948	       499.331
8		        -1	        16.9924	    -7.46271	        1.61784	       522.433
9		        -1	        34.7182	    -7.34665	        1.22273	       617.49
10		      -1	        17.9635	    -7.34537	        1.92193	       550.422
